beer_id,abv,external_brewery_id,ibu,external_beer_id,name,ounces,style
402e7be2-eb07-47a4-9e6f-1b3b0afbf83d,0.05,335,32,1722,Iron Horse Pale Ale,12,American Pale Ale (APA)
c91abb80-dc75-4628-bfe1-a91dde916c71,0.045,335,19,1435,Stone's Throw IPA,12,Scottish Ale
40df6346-5c08-438e-bc03-fd8c37aabaa4,0.067,335,70,1434,Wood Chipper India Pale Ale,12,American IPA
39288848-4216-4365-96cf-02257889eac3,0.063,224,55,2089,Trail Head,12,American Pale Ale (APA)
488016f7-7a48-48a9-9bbe-c68def7a9ca1,0.07,224,80,2088,Hop Stalker Fresh Hop IPA,16,American IPA
2c6989a6-9992-47a1-810e-67ff2b0fc362,0.07,405,58,1455,Sudice American Stout,16,American Stout
e36d2112-49c8-4b26-8131-500c356a4b3c,0.05,405,20,1454,Parcae Belgian Style Pale Ale,16,Belgian Pale Ale
c2b3575f-bc2e-4f82-8ba0-48ff5b78ee51,0.05,405,20,1453,Norns Roggenbier,16,Roggenbier
c8b0e5fd-c629-4154-85b6-475d2d874637,0.05,405,20,1452,Laimas Kölsch Style Ale,16,Kölsch
295c3cd7-0705-4658-9b48-b3af1e49ca75,0.07,405,70,1451,Moirai India Pale Ale,16,American IPA
ecce36e9-5d2d-460a-91a9-1ee5d2f18654,0.075,201,53,2191,Loki Red Ale,16,American Amber / Red Ale
2a5cfd9f-77d8-47e9-ac9c-507afd05a1a9,0.046,201,,1731,Peaches & Cream,16,Fruit / Vegetable Beer
e03f8123-fbcc-48ff-94cb-c15b9fa90047,0.051,201,,1022,Quaff India Style Session Ale,16,American IPA
d0d37a94-42b5-437f-bdaa-6e0f0758b46e,0.075,201,53,895,Loki Red Ale (2013),16,American Amber / Red Ale
6b962e5a-b248-42b2-b2fe-c6eefcbb2f9b,0.069,201,,682,Mjolnir Imperial IPA,16,American Double / Imperial IPA
55ef5cfd-2556-4367-a03f-ed8d66c2b983,0.05,201,,112,Fearless Scottish Ale,16,Scottish Ale
980eb7a2-e44e-430f-8890-2820ab196279,0.081,172,,2289,Mastermind,12,American Double / Imperial IPA
17cff008-71d4-4a27-ad05-46bb49486ee2,0.082,172,,2027,Hyzer Flip,16,American Double / Imperial IPA
3f63eb8b-e176-4bfa-95e1-f5a132b0df5a,0.082,172,80,1929,Second Fiddle,16,American Double / Imperial IPA
99fe56ee-b782-466b-92a4-1816439a9fa4,0.055,172,30,1858,Hodad Porter,16,American Porter
f31f77a0-e4f7-4b5d-939a-2a0a642c224d,0.045,36,,2591,Weiss Weiss Baby,12,Kristalweizen
0219f219-41cb-4df2-8a31-23a3e00ffdda,0.055,36,45,2590,Czech Yo Self,12,Czech Pilsener
