beer_id,abv,brewery_uuid,ibu,name,ounces,style
0fd45396-ba39-4547-9fff-3e7acc05f227,0.092,7e286282-9365-48c2-8bd2-1193bac62449,50,Quakertown Stout,12,American Double / Imperial Stout
2f0fe768-172d-4dec-a93d-834cdf60ac2f,0.051,7e286282-9365-48c2-8bd2-1193bac62449,20,Greenbelt Farmhouse Ale,12,Saison / Farmhouse Ale
924103d6-4d68-45d3-b5c2-47783195b97c,0.07,b014d168-6455-4325-9e1c-7b212daf49ef,45,Green Bullet Organic India Pale Ale,16,American IPA
489b7be1-a554-4583-95d7-fb1d5954cba5,0.032,d4b6dce4-8521-402d-a39b-0eef19bfcb7f,27,Rocket Girl,12,Kölsch
a412872f-8b3a-4a9b-9f71-0e0a4b12aa66,0.053,d4b6dce4-8521-402d-a39b-0eef19bfcb7f,26,Ninja Porter,12,American Porter
b2b91d15-ac86-4812-9081-81105fb52eec,0.06,d4b6dce4-8521-402d-a39b-0eef19bfcb7f,69,Shiva IPA,12,American IPA
7041c7bc-275e-486c-860e-4b199acf4400,0.048,be30d928-4a14-45eb-a944-89b01b544080,,Aslan Kölsch,16,Kölsch
45906d50-7545-4311-8b2f-08299f50d641,0.077,be30d928-4a14-45eb-a944-89b01b544080,,Aslan IPA,16,American IPA
c64fb0d9-580d-45e8-a51b-b7c75d37bae1,0.077,be30d928-4a14-45eb-a944-89b01b544080,,Aslan Amber,16,American Amber / Red Ale
899c33ce-13f6-4224-9418-760a05c80e54,0.0559999999999999,5b2501b2-d069-4e5f-8c6b-ef9f6ee408cd,27,This Season's Blonde,12,American Blonde Ale
a4574541-df7c-4ea3-8a56-ed7954177246,0.07,5b2501b2-d069-4e5f-8c6b-ef9f6ee408cd,67,Independence Pass Ale,12,American IPA
7ab5ab42-8d34-49a4-ab91-65485d9c1b99,0.057,686e0f81-196a-4e76-9b73-2e3957c7b871,40,Trolley Stop Stout,12,American Stout
641f54af-aff2-4fb2-9ea3-103acb3207d3,0.0819999999999999,686e0f81-196a-4e76-9b73-2e3957c7b871,138,Bitter Bitch Imperial IPA,12,American Double / Imperial IPA
79ce847a-ce25-4e60-9109-a9b854b753b1,0.062,686e0f81-196a-4e76-9b73-2e3957c7b871,35,Poop Deck Porter,12,American Porter
06836610-aa93-445b-9b98-83f0a93b551d,0.06,686e0f81-196a-4e76-9b73-2e3957c7b871,35,Old Red Beard Amber Ale,12,American Amber / Red Ale
d52362f3-19bd-4949-90c5-56b62abf4697,0.075,efdc475f-8e3c-42f7-8e69-7d5fda684097,115,Hop A-Peel,16,American Double / Imperial IPA
24ee1d19-4179-4b9a-bc32-0bab0d6cf7e1,0.055,efdc475f-8e3c-42f7-8e69-7d5fda684097,12,Vanilla Java Porter,16,American Porter
e7920de7-b51d-417b-bf04-53074bd717f1,0.052,efdc475f-8e3c-42f7-8e69-7d5fda684097,,Michelada,16,Fruit / Vegetable Beer
1a0adf82-bbc2-4fd9-ac2b-6e61632965c3,0.045,efdc475f-8e3c-42f7-8e69-7d5fda684097,8,Dirty Blonde Ale,12,American Blonde Ale
aff602a0-33e4-4b68-a278-66527e89ec17,0.05,efdc475f-8e3c-42f7-8e69-7d5fda684097,62,Grand Circus IPA,12,American IPA
0b809637-4077-437c-b7ad-a8c088aa8170,0.05,efdc475f-8e3c-42f7-8e69-7d5fda684097,12,Atwater's Lager,12,Munich Helles Lager
b1340dda-d93a-44b3-8231-4be79aa1c5ac,0.07,9a280fbb-adee-484a-876b-50e71235a711,,Heavy Machinery IPA Series #1: Heavy Fist,16,American Black Ale
6cb92f25-2e6e-45e2-8c51-ef1984c74e7b,0.062,9a280fbb-adee-484a-876b-50e71235a711,,Fire Eagle IPA,12,American IPA
df1fc1d5-85f5-45cc-9a31-d8fdefd5b110,0.051,9a280fbb-adee-484a-876b-50e71235a711,,Peacemaker,12,American Pale Ale (APA)
d4a00935-c5cf-4854-a078-d116d7f8e8b5,0.053,9a280fbb-adee-484a-876b-50e71235a711,,Pearl-Snap,12,German Pilsener
1f0d77f0-ceed-4938-b475-2c5ea50e6c8c,0.052,9a280fbb-adee-484a-876b-50e71235a711,,Black Thunder,12,Schwarzbier
88160f65-58a5-4e6b-b494-7196c5754663,0.08,b0b2d8dd-742f-40ab-8b17-fb335084e5bd,,Raja,12,American Double / Imperial IPA
60c8bb63-38ae-4657-992c-d84c7c821add,0.064,b0b2d8dd-742f-40ab-8b17-fb335084e5bd,,Perzik Saison,12,Saison / Farmhouse Ale
58944fc8-6455-4ab6-b393-64dcc735771f,0.047,b0b2d8dd-742f-40ab-8b17-fb335084e5bd,42,Avery Joe’s Premium American Pilsner,12,German Pilsener
5fdb83d3-f918-4bfa-84a9-741ad02ddc3f,0.0559999999999999,b0b2d8dd-742f-40ab-8b17-fb335084e5bd,10,White Rascal,12,Witbier
87a2a014-5f6a-4feb-8d78-aaa3cc2368c0,0.063,b0b2d8dd-742f-40ab-8b17-fb335084e5bd,69,Avery India Pale Ale,12,American IPA
0cbdb359-62b0-42c0-ae42-d17aaca34420,0.055,b0b2d8dd-742f-40ab-8b17-fb335084e5bd,17,Ellie’s Brown Ale,12,American Brown Ale
460e09d3-0fac-4bc8-b3aa-459ea70922f9,0.062,7006a17a-74da-497a-ba35-2338c7efbb25,17,Pumpkin Beast,12,Pumpkin Ale
