abv,ibu,id,name,style,brewery_id,ounces,breweryUuid
0.045,,1343,Barrio Tucson Blonde,American Blonde Ale,251,12.0,bd4c1883-0fa4-4ebf-84a5-750eeccb7546
0.049,22.0,2404,Hop in the ‘Pool Helles,American Pilsner,116,12.0,c4e818fa-6abc-440b-bdb5-c8172bb5fbd8
0.067,60.0,2323,Ultra Gnar Gnar IPA,American IPA,116,12.0,c4e818fa-6abc-440b-bdb5-c8172bb5fbd8
0.068,62.0,2189,In-Tents India Pale Lager,American Pale Lager,116,12.0,c4e818fa-6abc-440b-bdb5-c8172bb5fbd8
0.05,20.0,2188,Lost Meridian Wit,Witbier,116,12.0,c4e818fa-6abc-440b-bdb5-c8172bb5fbd8
0.051,45.0,2187,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,116,12.0,c4e818fa-6abc-440b-bdb5-c8172bb5fbd8
0.054,55.0,1966,Wagon Party,California Common / Steam Beer,258,12.0,45bf9811-0d89-40c3-a020-2d2638a0c932
0.067,70.0,1965,Sky-Five,American IPA,258,12.0,45bf9811-0d89-40c3-a020-2d2638a0c932
0.05,28.0,1964,Stargrazer,Schwarzbier,258,12.0,45bf9811-0d89-40c3-a020-2d2638a0c932
0.054,48.0,1963,Wonderstuff,German Pilsener,258,12.0,45bf9811-0d89-40c3-a020-2d2638a0c932
0.053,,1855,Tarnation California-Style Lager,California Common / Steam Beer,292,12.0,0026ad13-246b-4091-b344-641934ef7cc3
0.07,42.0,1778,On the Count of 3 (2015),Hefeweizen,292,16.0,0026ad13-246b-4091-b344-641934ef7cc3
0.047,,1209,Summer Swelter,American Pale Wheat Ale,292,12.0,0026ad13-246b-4091-b344-641934ef7cc3
0.068,,954,Phantom Punch Winter Stout,Foreign / Export Stout,292,12.0,0026ad13-246b-4091-b344-641934ef7cc3
0.066,,910,Hayride Autumn Ale,Rye Beer,292,12.0,0026ad13-246b-4091-b344-641934ef7cc3
0.047,,707,Celsius Summer Ale (2012),American Pale Wheat Ale,292,12.0,0026ad13-246b-4091-b344-641934ef7cc3
0.055,35.0,533,Amber Road,American Amber / Red Ale,292,12.0,0026ad13-246b-4091-b344-641934ef7cc3
0.049,28.0,183,Pamola Xtra Pale Ale,American Pale Ale (APA),292,12.0,0026ad13-246b-4091-b344-641934ef7cc3
0.069,69.0,182,Stowaway IPA,American IPA,292,12.0,0026ad13-246b-4091-b344-641934ef7cc3
0.088,108.0,1806,Hoptopus Double IPA,American Double / Imperial IPA,306,16.0,827042d6-0920-484e-94ae-6f8ef520cd74
0.044,44.0,2558,Moar,English India Pale Ale (IPA),53,12.0,449a1e99-45aa-40d0-a3a8-d825919641d6
0.083,,2557,Uber Lupin Schwarz IPA,American Double / Imperial IPA,53,16.0,449a1e99-45aa-40d0-a3a8-d825919641d6
0.057,27.0,2556,Nordic Blonde,American Blonde Ale,53,12.0,449a1e99-45aa-40d0-a3a8-d825919641d6
0.081,17.0,2104,Aprè Shred,American Strong Ale,220,16.0,b2ad6e2c-1bdc-45df-a0bc-c8e075949e75
0.095,104.0,1762,Hemlock Double IPA,American Double / Imperial IPA,220,12.0,b2ad6e2c-1bdc-45df-a0bc-c8e075949e75
0.0409999999999999,,1422,West Portal Colorado Common Summer Ale,California Common / Steam Beer,220,16.0,b2ad6e2c-1bdc-45df-a0bc-c8e075949e75
0.067,85.0,1067,Disconnected Red,American Amber / Red Ale,220,16.0,b2ad6e2c-1bdc-45df-a0bc-c8e075949e75
0.07,,1003,Big Elm IPA,American IPA,477,12.0,0aff7bc2-29eb-4127-b80c-d5fc3e05274a
0.065,,1002,Gerry Dog Stout,American Stout,477,12.0,0aff7bc2-29eb-4127-b80c-d5fc3e05274a
0.06,,1001,413 Farmhouse Ale,Saison / Farmhouse Ale,477,12.0,0aff7bc2-29eb-4127-b80c-d5fc3e05274a
0.08,54.0,2639,Dark Star,American Stout,8,16.0,4383b079-c8fe-49c0-9999-9ff23a8f4f8e
0.062,,2469,Ryecoe,American IPA,8,16.0,4383b079-c8fe-49c0-9999-9ff23a8f4f8e
0.06,,2586,Blueberry Blonde,Fruit / Vegetable Beer,40,12.0,13508268-325c-40ae-b1da-c7a4a295c6cb
0.075,60.0,2585,Galaxy IPA,American IPA,40,16.0,13508268-325c-40ae-b1da-c7a4a295c6cb
0.05,32.0,643,Big River Pilsner,Czech Pilsener,519,12.0,9f58f6bd-ef5d-4581-9df7-c13fe9ff2018
0.06,55.0,632,House Brand IPA,American IPA,519,12.0,9f58f6bd-ef5d-4581-9df7-c13fe9ff2018
0.062,65.0,1714,Big Sky IPA,American IPA,336,12.0,6f458334-b27f-4637-bbef-08902a118637
0.05,40.0,1713,Scape Goat Pale Ale,English Pale Ale,336,12.0,6f458334-b27f-4637-bbef-08902a118637
0.05,35.0,1712,Montana Trout Slayer Ale,American Pale Wheat Ale,336,12.0,6f458334-b27f-4637-bbef-08902a118637
0.051,26.0,1711,Moose Drool Brown Ale,American Brown Ale,336,12.0,6f458334-b27f-4637-bbef-08902a118637
0.072,60.0,1456,Powder Hound Winter Ale,English Strong Ale,336,12.0,6f458334-b27f-4637-bbef-08902a118637
0.051,26.0,767,Moose Drool Brown Ale (2011),American Brown Ale,336,12.0,6f458334-b27f-4637-bbef-08902a118637
0.05,35.0,766,Montana Trout Slayer Ale (2012),American Pale Wheat Ale,336,12.0,6f458334-b27f-4637-bbef-08902a118637
0.062,65.0,579,Big Sky IPA (2012),American IPA,336,12.0,6f458334-b27f-4637-bbef-08902a118637
0.047,,168,Summer Honey,American Blonde Ale,336,12.0,6f458334-b27f-4637-bbef-08902a118637
0.05,40.0,159,Scape Goat Pale Ale (2010),English Pale Ale,336,12.0,6f458334-b27f-4637-bbef-08902a118637
0.05,35.0,35,Montana Trout Slayer Ale (2009),American Pale Wheat Ale,336,12.0,6f458334-b27f-4637-bbef-08902a118637
0.051,26.0,34,Moose Drool Brown Ale (2009),American Brown Ale,336,12.0,6f458334-b27f-4637-bbef-08902a118637
0.069,81.0,2096,Arcus IPA,American IPA,221,12.0,9002d0c7-e0c1-4db2-ba73-fb31043ea41f
0.0579999999999999,38.0,2095,Wavemaker,American Amber / Red Ale,221,12.0,9002d0c7-e0c1-4db2-ba73-fb31043ea41f
0.053,43.0,1257,Jack Pine Savage,American Pale Ale (APA),444,16.0,fcae18a9-9809-487e-a8e8-21125010ce4a
